doi,标题,期刊,年份,作者
10.1107/S0108767319096855,Small-angle Neutron Scattering Study of Enzyme Encapsulation in Nanoporous Metal-Organic Frameworks,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2019,"Lilin He,Xiaoliang Wang,Shuo Qian,Shenqian Ma"
10.1021/acsami.9b04553,Understanding the Static Interfacial Polymer Layer by Exploring the Dispersion States of Nanocomposites.,ACS applied materials & interfaces,2019,"Anne-Caroline Genix,Vera Bocharova,Bobby Carroll,Michelle Lehmann,Tomonori Saito,Susan Krueger,Lilin He,Philippe Dieudonné-George,Alexei P Sokolov,Julian Oberdisse"
10.1103/PhysRevLett.123.239802,Palit et al. Reply.,PHYSICAL REVIEW LETTERS,2019,"Swomitra Palit,Lilin He,William A Hamilton,Arun Yethiraj,Anand Yethiraj"
10.1016/j.coal.2018.11.009,"Nanopore characterization of mine roof shales by SANS, nitrogen adsorption, and mercury intrusion: Impact on water adsorption/retention behavior",International Journal of Coal Geology,2018,"Guijie Sang,Shimin Liu,Rui Zhang,Derek Elsworth,Lilin He"
10.1021/acs.chemmater.7b03502,Manganoporphyrin-Polyphenol Multilayer Capsules as Radical and Reactive Oxygen Species (ROS) Scavengers,CHEMISTRY OF MATERIALS,2018,"Aaron Alford,Veronika Kozlovskaya,Bing Xue,Nirzari Gupta,William Higgins,Dana Pham-Hua,Lilin He,Volker S. Urban,Hubert M. Tse,Eugenia Kharlampieva"
10.1107/S1600576718001231,The suite of small-angle neutron scattering instruments at Oak Ridge National Laboratory,JOURNAL OF APPLIED CRYSTALLOGRAPHY,2018,"William T. Heller,Matthew J. Cuneo,L. DeBeer-Schmitt,Changwoo Do,Lilin He,Luke Heroux,Kenneth C. Littrell,Sai Venkatesh Pingali,Shuo Qian,Christopher J. Stanley,Volker S. Urban,Bin Wu,Wim Bras"
10.1021/acs.energyfuels.8b03437,Evaluation of nanoscale accessible pore structures for improved prediction of gas production potential in Chinese marine shales,ENERGY & FUELS,2018,"Yang Wang,Yong Qin,Rui Zhang,Lilin He,Lawrence M. Anovitz,Markus Bleuel,David F.R. Mildner,Shimin Liu,Yanming Zhu"
10.1107/S160057671800479X,Small-angle neutron scattering measurements of δ-phase deuteride (hydride) precipitates in Zircaloy 4,JOURNAL OF APPLIED CRYSTALLOGRAPHY,2018,"Brent J Heuser,Jun Li Lin,Changwoo Do,Lilin He"
10.1021/acs.macromol.8b00432,Do Very Small Poss Nanoparticles Perturb S-Pmma Chain Conformations?,MACROMOLECULES,2018,"Nicolas Jouault,Sanat K. Kumar,Robert J. Smalley,Changzai Chi,Robert Moneta,Barbara A. Wood,Holly Salerno,Yuri B. Melnichenko,Lilin He,William E. Guise,Boualem Hammouda,Michael K. Crawford"
10.1039/c7cp07197c,Strain heterogeneity in sheared colloids revealed by neutron scattering.,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2018,"Kevin Chen,Bin Wu,Lilin He,Gregory S Smith,Changwoo Do,Guan-Rong Huang,Gaibo Zhang,Yangyang Wang"
