doi,标题,期刊,年份,作者
10.1109/ISIC.2007.4450966,Neural Network Based Decentralized Controls of Large Scale Power Systems,ISIC,2007,"Wenxin Liu,Sarangapani Jagannathan,Ganesh K. Venayagamoorthy,Donald C. Wunsch,Mariesa L. Crow,Li Liu,David A. Cartes"
10.1109/IJCNN.2006.246942,Application Of Particle Swarm Optimization To Pmsm Stator Fault Diagnosis,"2006 IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORK PROCEEDINGS, VOLS 1-10",2006,"Li Liu,David A. Cartes,Wenxin Liu"
10.1109/SYSOSE.2006.1652291,"Agents and islands: managing a power system before, during, and after transition to the islanded state","Los Angeles, CA",2006,"Laurence R. Phillips,David A. Cartes,Wenxin Liu,Daniel Cox,Tom Davis,Sharon Simmons,Dennis Edwards,Norman Wilde"
10.1109/IJCNN.2006.246642,Particle Swarm Optimization Based Defensive Islanding Of Large Scale Power System,"2006 IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORK PROCEEDINGS, VOLS 1-10",2006,"Wenxin Liu,David A. Cartes,Ganesh K. Venayagamoorthy"
10.1109/IJCNN.2006.246943,Neural Network Based Decentralized Excitation Control Of Large Scale Power Systems,"2006 IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORK PROCEEDINGS, VOLS 1-10",2006,"Wenxin Liu,Jagannathan Sarangapani,Ganesh K. Venayagamoorthy,Donald C. Wunsch,David A. Cartes"
10.1007/s10845-005-7029-0,A neural network model and algorithm for the hybrid flow shop scheduling problem in a dynamic environment.,JOURNAL OF INTELLIGENT MANUFACTURING,2005,"Lixin Tang,Wenxin Liu,Jiyin Liu"
10.1109/TIA.2005.853386,A Heuristic-Dynamic-Programming-Based Power System Stabilizer for a Turbogenerator in a Single-Machine Power System,IEEE Transactions on Industry Applications,2005,"Wenxin Liu,Ganesh K. Venayagamoorthy,Donald C. Wunsch II"
10.1109/CDC.2004.1429594,Decentralized Neural Network Control Of A Class Of Large-Scale Systems With Unknown Interconnections,"2004 43RD IEEE CONFERENCE ON DECISION AND CONTROL (CDC), VOLS 1-5",2004,"Wenxin Liu,S. Jagannathan,Donald C. Wunsch,Mariesa L. Crow"
10.1109/IJCNN.2004.1380885,Neural network stabilizing control of single machine power system with control limits,"Neural Networks, 2004. Proceedings. 2004 IEEE International Joint Conference",2004,"Wenxin Liu,Jagannathan Sarangapani,Ganesh K Venayagamoorthy,Donald C Wunsch,Mariesa L Crow"
10.1016/S0893-6080(03)00129-1,Design of an adaptive neural network based power system stabilizer.,Neural Networks,2003,"Wenxin Liu,Ganesh K Venayagamoorthy,Donald C Wunsch"
10.1109/IAS.2003.1257513,A heuristic dynamic programming based power system stabilizer for a turbogenerator in a single machine power system,"Industry Applications Conference, 2003. 38th IAS Annual Meeting. Conference Record of the",2003,"Wenxin Liu,Venayagamoorthy, G.K.,Wunsch, D.C."
10.1109/IJCNN.2003.1224043,Adaptive Neural Network Based Power System Stabilizer Design,"PROCEEDINGS OF THE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS 2003, VOLS 1-4",2003,"Wenxin Liu,Ganesh K. Venayagamoorthy,Donald C. Wunsch"
10.1109/ijcnn.2006.1716353,Neural Network based Decentralized Excitation Control of Large Scale Power Systems,The 2006 IEEE International Joint Conference on Neural Network Proceedings,0," Wenxin Liu,J. Sarangapani,G.K. Venayagamoorthy,D.C. Wunsch,D.A. Cartes"
